F.ID,F.ID.W,Site,Transect,Habitat,Edgedist,Season,Date,GUD,Available,Forage,Tmax,Tmin,Tmed,Urine,Precip
B1edge0,B1edge0winter1,B,1,edge,0,winter1,12.19.2018,77,1400,YES,4.278,-4.611,-0.167,no.urine,0
B1field20,B1field20winter1,B,1,field,20,winter1,12.19.2018,303,1400,YES,4.278,-4.611,-0.167,no.urine,0
B1field60,B1field60winter1,B,1,field,60,winter1,12.19.2018,121,1400,YES,4.278,-4.611,-0.167,no.urine,0
B2woods60,B2woods60winter1,B,2,woods,60,winter1,12.19.2018,32,1400,YES,4.278,-4.611,-0.167,no.urine,0
B2woods20,B2woods20winter1,B,2,woods,20,winter1,12.19.2018,251,1400,YES,4.278,-4.611,-0.167,no.urine,0
B2edge0,B2edge0winter1,B,2,edge,0,winter1,12.19.2018,1022,1400,YES,4.278,-4.611,-0.167,no.urine,0
B2field20,B2field20winter1,B,2,field,20,winter1,12.19.2018,442,1400,YES,4.278,-4.611,-0.167,no.urine,0
B2field60,B2field60winter1,B,2,field,60,winter1,12.19.2018,166,1400,YES,4.278,-4.611,-0.167,no.urine,0
B3woods60,B3woods60winter1,B,3,woods,60,winter1,12.19.2018,784,1400,YES,4.278,-4.611,-0.167,no.urine,0
B3woods20,B3woods20winter1,B,3,woods,20,winter1,12.19.2018,41,1400,YES,4.278,-4.611,-0.167,no.urine,0
B3edge0,B3edge0winter1,B,3,edge,0,winter1,12.19.2018,39,1400,YES,4.278,-4.611,-0.167,no.urine,0
B3field20,B3field20winter1,B,3,field,20,winter1,12.19.2018,932,1400,YES,4.278,-4.611,-0.167,no.urine,0
B3field60,B3field60winter1,B,3,field,60,winter1,12.19.2018,1268,1400,YES,4.278,-4.611,-0.167,no.urine,0
B1woods60,B1woods60winter1,B,1,woods,60,winter1,12.21.2018,903,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B1woods20,B1woods20winter1,B,1,woods,20,winter1,12.21.2018,855,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B1edge0,B1edge0winter1,B,1,edge,0,winter1,12.21.2018,1302,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B1field20,B1field20winter1,B,1,field,20,winter1,12.21.2018,1324,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B1field60,B1field60winter1,B,1,field,60,winter1,12.21.2018,823,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B2woods60,B2woods60winter1,B,2,woods,60,winter1,12.21.2018,913,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B2woods20,B2woods20winter1,B,2,woods,20,winter1,12.21.2018,990,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B2edge0,B2edge0winter1,B,2,edge,0,winter1,12.21.2018,1119,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B2field20,B2field20winter1,B,2,field,20,winter1,12.21.2018,1337,1400,NO,8.167,3.111,5.639,no.urine,1.4986
B2field60,B2field60winter1,B,2,field,60,winter1,12.21.2018,324,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B3woods60,B3woods60winter1,B,3,woods,60,winter1,12.21.2018,945,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B3woods20,B3woods20winter1,B,3,woods,20,winter1,12.21.2018,22,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B3edge0,B3edge0winter1,B,3,edge,0,winter1,12.21.2018,177,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B3field20,B3field20winter1,B,3,field,20,winter1,12.21.2018,1074,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B3field60,B3field60winter1,B,3,field,60,winter1,12.21.2018,1152,1400,YES,8.167,3.111,5.639,no.urine,1.4986
B1woods60,B1woods60winter1,B,1,woods,60,winter1,12.22.2018,1395,1400,NO,3.333,-0.944,1.194,no.urine,0
B1woods20,B1woods20winter1,B,1,woods,20,winter1,12.22.2018,232,1400,YES,3.333,-0.944,1.194,no.urine,0
B1edge0,B1edge0winter1,B,1,edge,0,winter1,12.22.2018,72,1400,YES,3.333,-0.944,1.194,no.urine,0
B1field20,B1field20winter1,B,1,field,20,winter1,12.22.2018,74,1400,YES,3.333,-0.944,1.194,no.urine,0
B1field60,B1field60winter1,B,1,field,60,winter1,12.22.2018,633,1400,YES,3.333,-0.944,1.194,no.urine,0
B2woods60,B2woods60winter1,B,2,woods,60,winter1,12.22.2018,1335,1400,NO,3.333,-0.944,1.194,no.urine,0
B2woods20,B2woods20winter1,B,2,woods,20,winter1,12.22.2018,967,1400,YES,3.333,-0.944,1.194,no.urine,0
B2edge0,B2edge0winter1,B,2,edge,0,winter1,12.22.2018,49,1400,YES,3.333,-0.944,1.194,no.urine,0
B2field20,B2field20winter1,B,2,field,20,winter1,12.22.2018,68,1400,YES,3.333,-0.944,1.194,no.urine,0
B2field60,B2field60winter1,B,2,field,60,winter1,12.22.2018,1348,1400,NO,3.333,-0.944,1.194,no.urine,0
B3woods60,B3woods60winter1,B,3,woods,60,winter1,12.22.2018,697,1400,YES,3.333,-0.944,1.194,no.urine,0
B3woods20,B3woods20winter1,B,3,woods,20,winter1,12.22.2018,17,1400,YES,3.333,-0.944,1.194,no.urine,0
B3edge0,B3edge0winter1,B,3,edge,0,winter1,12.22.2018,4,1400,YES,3.333,-0.944,1.194,no.urine,0
B3field20,B3field20winter1,B,3,field,20,winter1,12.22.2018,54,1400,YES,3.333,-0.944,1.194,no.urine,0
B3field60,B3field60winter1,B,3,field,60,winter1,12.22.2018,10,1400,YES,3.333,-0.944,1.194,no.urine,0
B1woods60,B1woods60winter1,B,1,woods,60,winter1,12.23.2018,1400,1400,NO,1.889,-2.444,-0.278,no.urine,0
B1woods20,B1woods20winter1,B,1,woods,20,winter1,12.23.2018,215,1400,YES,1.889,-2.444,-0.278,no.urine,0
B1edge0,B1edge0winter1,B,1,edge,0,winter1,12.23.2018,314,1400,YES,1.889,-2.444,-0.278,no.urine,0
B1field20,B1field20winter1,B,1,field,20,winter1,12.23.2018,1022,1400,YES,1.889,-2.444,-0.278,no.urine,0
B1field60,B1field60winter1,B,1,field,60,winter1,12.23.2018,862,1400,YES,1.889,-2.444,-0.278,no.urine,0
B2woods60,B2woods60winter1,B,2,woods,60,winter1,12.23.2018,1249,1400,YES,1.889,-2.444,-0.278,no.urine,0
B2woods20,B2woods20winter1,B,2,woods,20,winter1,12.23.2018,1111,1400,YES,1.889,-2.444,-0.278,no.urine,0
B2edge0,B2edge0winter1,B,2,edge,0,winter1,12.23.2018,1389,1400,NO,1.889,-2.444,-0.278,no.urine,0
B2field20,B2field20winter1,B,2,field,20,winter1,12.23.2018,1272,1400,YES,1.889,-2.444,-0.278,no.urine,0
B2field60,B2field60winter1,B,2,field,60,winter1,12.23.2018,613,1400,YES,1.889,-2.444,-0.278,no.urine,0
B3woods60,B3woods60winter1,B,3,woods,60,winter1,12.23.2018,1321,1400,YES,1.889,-2.444,-0.278,no.urine,0
B3woods20,B3woods20winter1,B,3,woods,20,winter1,12.23.2018,38,1400,YES,1.889,-2.444,-0.278,no.urine,0
B3edge0,B3edge0winter1,B,3,edge,0,winter1,12.23.2018,316,1400,YES,1.889,-2.444,-0.278,no.urine,0
B3field20,B3field20winter1,B,3,field,20,winter1,12.23.2018,1390,1400,NO,1.889,-2.444,-0.278,no.urine,0
B3field60,B3field60winter1,B,3,field,60,winter1,12.23.2018,1376,1400,NO,1.889,-2.444,-0.278,no.urine,0
C1woods60,C1woods60winter1,C,1,woods,60,winter1,12.17.2018,1017,1200,YES,9.278,-0.778,4.25,no.urine,0
C1woods20,C1woods20winter1,C,1,woods,20,winter1,12.17.2018,1146,1200,NO,9.278,-0.778,4.25,no.urine,0
C1edge0,C1edge0winter1,C,1,edge,0,winter1,12.17.2018,1083,1200,YES,9.278,-0.778,4.25,no.urine,0
C1field20,C1field20winter1,C,1,field,20,winter1,12.17.2018,1195,1200,NO,9.278,-0.778,4.25,no.urine,0
C1field60,C1field60winter1,C,1,field,60,winter1,12.17.2018,1193,1200,NO,9.278,-0.778,4.25,no.urine,0
C2woods60,C2woods60winter1,C,2,woods,60,winter1,12.17.2018,843,1200,YES,9.278,-0.778,4.25,no.urine,0
C2woods20,C2woods20winter1,C,2,woods,20,winter1,12.17.2018,1195,1200,NO,9.278,-0.778,4.25,no.urine,0
C2edge0,C2edge0winter1,C,2,edge,0,winter1,12.17.2018,1192,1200,NO,9.278,-0.778,4.25,no.urine,0
C2field20,C2field20winter1,C,2,field,20,winter1,12.17.2018,1195,1200,NO,9.278,-0.778,4.25,no.urine,0
C2field60,C2field60winter1,C,2,field,60,winter1,12.17.2018,1192,1200,NO,9.278,-0.778,4.25,no.urine,0
C3woods60,C3woods60winter1,C,3,woods,60,winter1,12.17.2018,490,1200,YES,9.278,-0.778,4.25,no.urine,0
C3woods20,C3woods20winter1,C,3,woods,20,winter1,12.17.2018,1179,1200,NO,9.278,-0.778,4.25,no.urine,0
C3edge0,C3edge0winter1,C,3,edge,0,winter1,12.17.2018,1194,1200,NO,9.278,-0.778,4.25,no.urine,0
C3field20,C3field20winter1,C,3,field,20,winter1,12.17.2018,1196,1200,NO,9.278,-0.778,4.25,no.urine,0
C3field60,C3field60winter1,C,3,field,60,winter1,12.17.2018,1200,1200,NO,9.278,-0.778,4.25,no.urine,0
C1woods60,C1woods60winter1,C,1,woods,60,winter1,12.18.2018,703,1200,YES,5.111,-1.389,1.861,no.urine,0
C1woods20,C1woods20winter1,C,1,woods,20,winter1,12.18.2018,1166,1200,NO,5.111,-1.389,1.861,no.urine,0
C1edge0,C1edge0winter1,C,1,edge,0,winter1,12.18.2018,1192,1200,NO,5.111,-1.389,1.861,no.urine,0
C1field20,C1field20winter1,C,1,field,20,winter1,12.18.2018,1198,1200,NO,5.111,-1.389,1.861,no.urine,0
C1field60,C1field60winter1,C,1,field,60,winter1,12.18.2018,1199,1200,NO,5.111,-1.389,1.861,no.urine,0
C2woods60,C2woods60winter1,C,2,woods,60,winter1,12.18.2018,864,1200,YES,5.111,-1.389,1.861,no.urine,0
C2woods20,C2woods20winter1,C,2,woods,20,winter1,12.18.2018,1187,1200,NO,5.111,-1.389,1.861,no.urine,0
C2edge0,C2edge0winter1,C,2,edge,0,winter1,12.18.2018,1199,1200,NO,5.111,-1.389,1.861,no.urine,0
C2field20,C2field20winter1,C,2,field,20,winter1,12.18.2018,1196,1200,NO,5.111,-1.389,1.861,no.urine,0
C2field60,C2field60winter1,C,2,field,60,winter1,12.18.2018,1200,1200,NO,5.111,-1.389,1.861,no.urine,0
C3woods60,C3woods60winter1,C,3,woods,60,winter1,12.18.2018,304,1200,YES,5.111,-1.389,1.861,no.urine,0
C3woods20,C3woods20winter1,C,3,woods,20,winter1,12.18.2018,1193,1200,NO,5.111,-1.389,1.861,no.urine,0
C3edge0,C3edge0winter1,C,3,edge,0,winter1,12.18.2018,1196,1200,NO,5.111,-1.389,1.861,no.urine,0
C3field20,C3field20winter1,C,3,field,20,winter1,12.18.2018,1200,1200,NO,5.111,-1.389,1.861,no.urine,0
C3field60,C3field60winter1,C,3,field,60,winter1,12.18.2018,1197,1200,NO,5.111,-1.389,1.861,no.urine,0
C1woods60,C1woods60winter1,C,1,woods,60,winter1,12.19.2018,1385,1400,NO,5.5,-5.222,0.139,no.urine,0
C1woods20,C1woods20winter1,C,1,woods,20,winter1,12.19.2018,1384,1400,NO,5.5,-5.222,0.139,no.urine,0
C1edge0,C1edge0winter1,C,1,edge,0,winter1,12.19.2018,1376,1400,NO,5.5,-5.222,0.139,no.urine,0
C1field20,C1field20winter1,C,1,field,20,winter1,12.19.2018,1396,1400,NO,5.5,-5.222,0.139,no.urine,0
C1field60,C1field60winter1,C,1,field,60,winter1,12.19.2018,1141,1400,YES,5.5,-5.222,0.139,no.urine,0
C2woods60,C2woods60winter1,C,2,woods,60,winter1,12.19.2018,1321,1400,YES,5.5,-5.222,0.139,no.urine,0
C2woods20,C2woods20winter1,C,2,woods,20,winter1,12.19.2018,1387,1400,NO,5.5,-5.222,0.139,no.urine,0
C2edge0,C2edge0winter1,C,2,edge,0,winter1,12.19.2018,1393,1400,NO,5.5,-5.222,0.139,no.urine,0
C2field20,C2field20winter1,C,2,field,20,winter1,12.19.2018,1396,1400,NO,5.5,-5.222,0.139,no.urine,0
C2field60,C2field60winter1,C,2,field,60,winter1,12.19.2018,1400,1400,NO,5.5,-5.222,0.139,no.urine,0
